section,dataset,method,method_key,group,split_type,status,seeds,evidence,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std,artifact_path,metrics_file,manifest_config,reason
RQ1,Quo Vadis,GPT4-API-BERT-CNN,gpt4_api_bert_cnn,semantic,preliminary binary-stratified,check,7,artifact/inventory,0.9552,,0.9723298284449363,,0.9370666666666667,,0.9543726235741445,,0.9926256711111111,,datasets_50k/quo_vadis/results/gpt4_api_bert_cnn_metrics.json,datasets_50k/quo_vadis/results/gpt4_api_bert_cnn_metrics.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,preliminary 50k binary-stratified split and detection threshold provenance absent; suspiciously high for confirmatory use
RQ1,Quo Vadis,GPT4-API-BERT-CNN,gpt4_api_bert_cnn,semantic,leakage-safe required,pending,7/17/27,[PENDING],,,,,,,,,,,,,,no complete leakage-safe three-seed artifact found
RQ1,Quo Vadis,GRU,gru,sequence,leakage-safe group/exact-sequence-disjoint,confirmatory,7/17/27,mean±std from complete artifact set,0.8850921273031825,0.00421098997989161,0.8527970412403842,0.037591114077760855,0.6679790026246719,0.023694842631585018,0.7479870621902648,0.0006784503042893463,0.8975758090967375,0.0026968452820954544,datasets_50k/quo_vadis/results/standard_baselines/gru/seed_17/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/gru/seed_27/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/gru/seed_7/metrics.json,datasets_50k/quo_vadis/results/standard_baselines/gru/seed_17/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/gru/seed_27/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/gru/seed_7/metrics.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
RQ1,Quo Vadis,LSTM,lstm,sequence,leakage-safe group/exact-sequence-disjoint,confirmatory,7/17/27,mean±std from complete artifact set,0.8683417085427135,0.01827562036447018,0.8174445634435884,0.08427210533572838,0.6404199475065616,0.038752816431058816,0.7138592128542638,0.023945861652173866,0.8871125421063257,0.015738795990238898,datasets_50k/quo_vadis/results/standard_baselines/lstm/seed_17/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/lstm/seed_27/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/lstm/seed_7/metrics.json,datasets_50k/quo_vadis/results/standard_baselines/lstm/seed_17/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/lstm/seed_27/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/lstm/seed_7/metrics.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
RQ1,Quo Vadis,MME fallback,mme_fallback,semantic,leakage-safe required,pending,7/17/27,[PENDING],,,,,,,,,,,,,,no complete leakage-safe three-seed artifact found
RQ1,Quo Vadis,MME TextCNN fallback,mme_textcnn_fallback,semantic,preliminary binary-stratified,preliminary,7,artifact/inventory,0.938,,0.9251876779704893,,0.9530666666666666,,0.9389202679626953,,0.9890301866666666,,datasets_50k/quo_vadis/results/mme_metrics.json,datasets_50k/quo_vadis/results/mme_metrics.json,datasets_50k/quo_vadis/artifacts/mme/manifest.json;datasets_50k/quo_vadis/leakage_safe/manifest.json,preliminary 50k binary-stratified split; retained only as diagnostic and excluded from confirmatory table
RQ1,Quo Vadis,Nebula,nebula,sequence,preliminary binary-stratified,preliminary,7,artifact/inventory,0.9113333333333333,,0.8915968519928916,,0.9365333333333333,,0.9135128105085186,,0.9707951644444445,,datasets_50k/quo_vadis/results/nebula_metrics.json,datasets_50k/quo_vadis/results/nebula_metrics.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,preliminary 50k binary-stratified split; retained only as diagnostic and excluded from confirmatory table
RQ1,Quo Vadis,Nebula,nebula,sequence,leakage-safe report-group/exact-sequence-disjoint,single-seed,7,artifact/inventory,0.8653266331658291,,0.7654867256637168,,0.6811023622047244,,0.7208333333333333,,0.8943277333248324,,datasets_50k/quo_vadis/results/nebula/leakage_safe/seed_7/metrics.json,datasets_50k/quo_vadis/results/nebula/leakage_safe/seed_7/metrics.json,datasets_50k/quo_vadis/results/nebula/leakage_safe/seed_7/config.json;datasets_50k/quo_vadis/leakage_safe/manifest.json,data checksum matches leakage-safe manifest; validation-selected threshold 0.99; prediction counts match 994-record validation and 995-record test splits; config and prediction artifacts present
RQ1,Quo Vadis,Nebula,nebula,sequence,leakage-safe required,pending,17/27,[PENDING],,,,,,,,,,,,,,seed 7 usable; seeds 17 and 27 required before aggregation into Table VII
RQ1,Quo Vadis,Semantic TF-IDF/SGD prototype,ours,escapturer,preliminary binary-stratified,preliminary,7,artifact/inventory,0.9621333333333333,,0.9706681151548072,,0.9530666666666666,,0.9617868675995694,,0.99465856,,datasets_50k/quo_vadis/results/ours_metrics.json,datasets_50k/quo_vadis/results/ours_metrics.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,preliminary 50k binary-stratified split; retained only as diagnostic and excluded from confirmatory table
